Variable,Coeficiente,AbsCoef
Charges_Monthly,-4.5274897949248,4.5274897949248
Cuentas_Diarias,-4.5274897949247945,4.5274897949247945
InternetService_Fiber optic,4.300274726687469,4.300274726687469
InternetService_No,-3.0485679617389776,3.0485679617389776
tenure,-1.8980148291884558,1.8980148291884558
StreamingTV,1.6367840718986493,1.6367840718986493
PhoneService,1.5879342719623883,1.5879342719623883
StreamingMovies,1.5817099203872047,1.5817099203872047
Charges_Total,1.0645025126470693,1.0645025126470693
MultipleLines,0.906643922355431,0.906643922355431
DeviceProtection,0.7630563383722212,0.7630563383722212
OnlineBackup,0.7038413813647906,0.7038413813647906
PaymentMethod_Electronic check,0.6559453660715607,0.6559453660715607
OnlineSecurity,0.5568898998631538,0.5568898998631538
TechSupport,0.4991797993945675,0.4991797993945675
PaymentMethod_Mailed check,0.3627830006004402,0.3627830006004402
Contract_Two year,-0.28742666628331104,0.28742666628331104
PaperlessBilling,0.27572252050299384,0.27572252050299384
PaymentMethod_Credit card (automatic),0.2617967440536076,0.2617967440536076
Contract_One year,-0.17094905732130236,0.17094905732130236
gender_Male,0.13176499906482608,0.13176499906482608
Partner,0.07868455864391467,0.07868455864391467
Dependents,-0.03205467851798522,0.03205467851798522
SeniorCitizen,-0.0032606380768709672,0.0032606380768709672
