Variable,Importancia
Charges_Total,0.14621764254449832
tenure,0.14483145303621184
Cuentas_Diarias,0.11205393074885202
Charges_Monthly,0.11140929546058342
PaymentMethod_Electronic check,0.09087060995648412
InternetService_Fiber optic,0.05323502234138065
Contract_Two year,0.04754370822915818
PaperlessBilling,0.044397153615488745
Contract_One year,0.02270579187746016
gender_Male,0.0224148339316986
MultipleLines,0.018811007077220096
Partner,0.017425869948039123
StreamingTV,0.01684823198601188
PaymentMethod_Credit card (automatic),0.01646303491991288
InternetService_No,0.015815892972319175
OnlineBackup,0.015729986459598104
StreamingMovies,0.015722705536954686
DeviceProtection,0.014486231184212174
OnlineSecurity,0.01427667502438561
PaymentMethod_Mailed check,0.013914652154444686
TechSupport,0.013829677192291032
Dependents,0.01372097134552848
SeniorCitizen,0.012632116239200674
PhoneService,0.004643506218065346
