Variable,Coeficiente,AbsCoef
Cuentas_Diarias,-3.461146026938757,3.461146026938757
Charges_Monthly,-3.4611460269387218,3.4611460269387218
InternetService_Fiber optic,3.2739742776417384,3.2739742776417384
InternetService_No,-2.4518247305903875,2.4518247305903875
tenure,-1.3625506799268472,1.3625506799268472
PhoneService,1.252374389269145,1.252374389269145
StreamingTV,1.221643094101111,1.221643094101111
StreamingMovies,1.216245971772421,1.216245971772421
Charges_Total,0.7016096468132447,0.7016096468132447
MultipleLines,0.6743591156880453,0.6743591156880453
DeviceProtection,0.5653988450951335,0.5653988450951335
PaymentMethod_Electronic check,0.5285384641737636,0.5285384641737636
OnlineBackup,0.5280090704729783,0.5280090704729783
OnlineSecurity,0.4082639308663565,0.4082639308663565
TechSupport,0.3380957606443389,0.3380957606443389
PaymentMethod_Mailed check,0.2820403498087942,0.2820403498087942
PaperlessBilling,0.2111046736716996,0.2111046736716996
PaymentMethod_Credit card (automatic),0.198978401984772,0.198978401984772
Contract_One year,-0.10651530088341055,0.10651530088341055
Contract_Two year,-0.08012169231854838,0.08012169231854838
gender_Male,0.07955144046427964,0.07955144046427964
Partner,0.049789519710834895,0.049789519710834895
Dependents,-0.02680687363894929,0.02680687363894929
SeniorCitizen,0.0016881573586240428,0.0016881573586240428
